feature,spearman,p_value,abs_spearman
minutes_form_combo,0.10910811312683584,9.21668613192049e-21,0.10910811312683584
minutes_pct_roll5,0.10298631937362772,1.1706065882821379e-18,0.10298631937362772
minutes_pct_ewma5,0.09580687368506519,2.407008467146816e-16,0.09580687368506519
pf_roll5,0.09554091990775614,2.9105573187259823e-16,0.09554091990775614
pf_ewma5,0.09500203191890787,4.27014117345866e-16,0.09500203191890787
defensive_form_power,0.09067095344079908,8.600573734446489e-15,0.09067095344079908
aerial_won_ewma5,0.08409445838811927,6.310770205930994e-13,0.08409445838811927
aerial_won_roll5,0.08238620299877752,1.8286534232557478e-12,0.08238620299877752
clearances_roll5,0.0719138546312108,7.811761991927288e-10,0.0719138546312108
clearances_ewma5,0.07082466704365224,1.401187596160343e-09,0.07082466704365224
elite_despejes_interact,0.06704406406733178,9.962828981929731e-09,0.06704406406733178
aerial_lost_ewma5,0.06503391592556182,2.710921941155303e-08,0.06503391592556182
aerial_lost_roll5,0.05621499696822198,1.5551654430870145e-06,0.05621499696822198
defensive_activity,0.05255665079658768,7.091255314722876e-06,0.05255665079658768
num_roles_criticos,0.05159792666086918,1.03897819718612e-05,0.05159792666086918
def_actions_ewma5,0.04799161059992674,4.1247280781536375e-05,0.04799161059992674
aerial_balance,0.04504820679709899,0.00011877892653379539,0.04504820679709899
availability_momentum,0.03482479159755035,0.0029336992910822856,0.03482479159755035
odds_market_confidence,0.03108573825703362,0.00792939479233474,0.03108573825703362
duels_roll5,-0.028545690270711348,0.014767904436254864,0.028545690270711348
odds_expected_goals_against,-0.0252686115125668,0.030924848445215203,0.0252686115125668
duels_ewma5,-0.025224849255184943,0.031216675264076225,0.025224849255184943
opp_form_ewma5,0.02239180220182288,0.05584003182551845,0.02239180220182288
odds_prob_loss,-0.019324393989253917,0.09888782564098908,0.019324393989253917
duels_lost_roll5,-0.018973247062430337,0.10517284621513186,0.018973247062430337
duel_balance,0.018973247062430337,0.10517284621513186,0.018973247062430337
odds_is_favored,0.017147259954552175,0.1431073579488151,0.017147259954552175
duels_lost_ewma5,-0.016548354442103397,0.15760710148586482,0.016548354442103397
odds_prob_win,0.014786531000802102,0.2066987916753897,0.014786531000802102
defensive_efficiency,0.014390140854425049,0.21913113133896758,0.014390140854425049
opp_form_roll5,0.011662278294925848,0.31930890119727745,0.011662278294925848
opp_gf_roll5,0.009718689851524706,0.40659461771696603,0.009718689851524706
tackles_roll5,-0.008886749668884617,0.44793808550346836,0.008886749668884617
defensive_pressure,-0.008886749668884617,0.44793808550346836,0.008886749668884617
opp_gf_ewma5,0.008394502538579679,0.4734842094036844,0.008394502538579679
form_ratio,-0.0054758528747956645,0.6400791631728403,0.0054758528747956645
defensive_consistency,-0.005314101786591447,0.649990169979297,0.005314101786591447
elite_intercepciones_interact,-0.003547562506634808,0.7619444954313774,0.003547562506634808
opp_gc_ewma5,-0.0026187106553851357,0.8230585865720196,0.0026187106553851357
opp_gc_roll5,0.0015666703560868861,0.8935777262061945,0.0015666703560868861
tackles_ewma5,0.0008844151959448745,0.9398006061687649,0.0008844151959448745
is_home,0.0,1.0,0.0
starter_pct_roll5,0.0,1.0,0.0
starter_pct_ewma5,0.0,1.0,0.0
duel_win_rate,0.0,1.0,0.0
