feature,importance
minutes_form_combo,0.2312163569886987
odds_market_confidence,0.12633811753219226
elite_despejes_interact,0.12415686382777638
opp_form_ewma5,0.11960046265872774
duels_roll5,0.11174163450834035
minutes_pct_roll5,0.09898934925071672
aerial_lost_ewma5,0.07811852923191864
num_roles_criticos,0.0727902760105737
availability_momentum,0.04221563726914678
minutes_pct_ewma5,0.03677035398243387
aerial_balance,0.03611213685442137
defensive_form_power,0.029241790975357125
clearances_ewma5,0.019891983953589154
aerial_won_roll5,0.01784633590698814
pf_roll5,0.0
aerial_won_ewma5,0.0
pf_ewma5,0.0
clearances_roll5,0.0
aerial_lost_roll5,0.0
defensive_activity,0.0
def_actions_ewma5,0.0
odds_expected_goals_against,0.0
duels_ewma5,0.0
