feature,importance
opp_form_ewma5,0.06618602505289982
minutes_pct_ewma5,0.06457151217634444
minutes_form_combo,0.06415357212918461
pf_ewma5,0.05912993801903184
defensive_form_power,0.05508979541315385
clearances_ewma5,0.05408525450584232
def_actions_ewma5,0.05247724263972451
aerial_lost_ewma5,0.05243243149317354
aerial_won_ewma5,0.05140847960857987
duels_ewma5,0.051139830641878714
minutes_pct_roll5,0.04712008214036777
defensive_activity,0.04670849325683641
pf_roll5,0.04011771614842797
availability_momentum,0.04003834464811173
odds_expected_goals_against,0.03860324942894478
odds_market_confidence,0.03650080450731339
clearances_roll5,0.035958673253232674
aerial_balance,0.03145008750334607
aerial_won_roll5,0.029230641890581097
duels_roll5,0.02818981692789618
aerial_lost_roll5,0.026141605488868944
elite_despejes_interact,0.017008086778150466
num_roles_criticos,0.012258316348109088
