Modelo,MAE,RMSE,R²
Bosque Aleatorio,3.3210±0.0757,4.0081±0.1212,-0.0165±0.0152
XGBoost,3.3986±0.1041,4.1501±0.1520,-0.0907±0.0584
ElasticNet,3.3634±0.1499,4.0674±0.2078,-0.0465±0.0587
