fold,tipo,mae,rmse,r2
1,bosque,3.388265183681643,4.102886298948333,-0.019723719236366843
1,bosque,3.410319252074425,4.122097139909275,-0.029295328615758676
1,bosque,3.3889543261243817,4.104755471030133,-0.020653051974365733
1,bosque,3.4085598733658413,4.1221122845168106,-0.02930289190303559
1,bosque,3.3840086337612223,4.092875672280087,-0.014753744743819741
1,bosque,3.3989704489832095,4.11286851490085,-0.024691678073526235
1,bosque,3.386740584615611,4.095014466113451,-0.01581457155595034
1,bosque,3.397264915395531,4.1118217478194765,-0.024170155434168228
1,xgb,3.5386392015989134,4.3337885326411865,-0.1377294239325737
1,xgb,3.580014728769964,4.387719160428343,-0.16622192687306758
1,xgb,3.5737761445596914,4.385471440480688,-0.16502737965218817
1,xgb,3.59495419507124,4.415031825815295,-0.18078610756857438
1,xgb,3.5271963262233603,4.329140136404701,-0.13529008898920436
1,xgb,3.5656704363368807,4.389018223713398,-0.16691259111248846
1,xgb,3.534904489711839,4.349735403979029,-0.14611774517129383
1,xgb,3.572570177568059,4.400237998480642,-0.1728862417749477
1,elastic,3.5640576720914643,4.379870901464449,-0.1620536446304659
1,elastic,3.563169790665033,4.3792572182497365,-0.16172802642287865
1,elastic,3.56239907992028,4.378866326084778,-0.1615206441688657
1,elastic,3.555163489815475,4.359655506923772,-0.15135142945295943
1,elastic,3.5531487123404513,4.356009555538868,-0.14942649935345753
1,elastic,3.5512768987534993,4.352465607613531,-0.14755696690624176
2,bosque,3.33081089940562,4.131769226662773,-0.011628456274831223
2,bosque,3.366195082707186,4.164286385052274,-0.027614211725167426
2,bosque,3.334567124690976,4.1367259321284395,-0.014057126304335199
2,bosque,3.3608118024037794,4.155838732302452,-0.02344921336834349
2,bosque,3.3357052653229555,4.139930046337024,-0.015628617005744916
2,bosque,3.3520181527731707,4.14994653417822,-0.020549153495455164
2,bosque,3.328729372289052,4.13572489967107,-0.013566409107745425
2,bosque,3.352166470464807,4.148328605949262,-0.019753551238268052
2,xgb,3.3299246304700163,4.149280317470285,-0.020221509600822474
2,xgb,3.387399155266431,4.214899903760824,-0.05274564749218569
2,xgb,3.3695908995712696,4.19251961285224,-0.04159558324784407
2,xgb,3.4253494135376545,4.253855367139651,-0.07229520272552814
2,xgb,3.377114047809523,4.199661257072964,-0.045147166259663196
2,xgb,3.4111072185899123,4.2347654253600755,-0.06269256243628973
2,xgb,3.4185283151613612,4.234419065645511,-0.06251873517394113
2,xgb,3.4332696832969885,4.253329689501924,-0.07203019758007945
2,elastic,3.3425436821472876,4.1255151506946035,-0.00856825974836406
2,elastic,3.3431064327091886,4.1266846887736515,-0.009140176775929598
2,elastic,3.343903904290603,4.128206413455583,-0.009884559622984623
2,elastic,3.342949179327424,4.127403398878006,-0.009491714368146331
2,elastic,3.343383442432101,4.1278811645693265,-0.009725434397143351
2,elastic,3.342923976332702,4.127338799133469,-0.009460114647827922
3,bosque,3.226756999264412,3.859309152248695,0.0032819718527967723
3,bosque,3.245112570583543,3.872205751028956,-0.0033905954220121437
3,bosque,3.2491498214362915,3.8858649653511503,-0.010482005958130758
3,bosque,3.2382521005840847,3.8662746484848687,-0.00031913944839256914
