variable,importancia
racha_derrotas,0.1505195258041815
rol_save_pct_posicion,0.14039748342249928
save_pct_roll5_mean,0.12581741417174655
score_roles_normalizado,0.1163277096189931
clearance_activity_ema,0.10645396365376474
def_actions_ema,0.10282589175656318
psxg_plus_minus_roll5,0.09409905615356952
score_roles,0.09387607038119379
overperformance_defensa,0.09378040110660789
pf_lag1,0.08143950478412769
pf_media_historica,0.06765432670519976
racha_ratio_victorias,0.06617037595895811
psxg_roll5_std,0.05531564247591504
save_pct_lag1,0.05412424281405238
save_pct_roll5_std,0.0531474572327031
forma_rival_roll5,0.043055299910006936
presion_ofensiva_rival_roll5,0.042265441062520115
gc_ratio_hist,0.038610820918555326
rol_minutos_posicion,0.038452477802177774
adaptacion_presion,0.034888830969949804
save_ratio_hist,0.03396937016620579
aerial_success_ema,0.032225028358299615
racha_rival_ratio_victorias,0.03163833278722811
def_actions_per_90_last5,0.026266178529631184
tiros_rival_roll5_mean,0.02424477495713661
dominancia_equipo,0.023590018066837675
racha_rival_victorias,0.02354272190391717
positioning_activity_ema,0.02344465005240423
local,0.020378337604287138
tiros_puerta_rival_roll5_mean,0.019124076143751344
porteria_cero_roll5_sum,0.017243253643561822
min_participacion_roll5_mean,0.005479491723665093
