fold,tipo,mae,rmse,r2
1,bosque,3.406076440014324,4.119841806468951,-0.028169314823285774
1,bosque,3.403080114903584,4.113835307017083,-0.02517347333035036
1,bosque,3.4115654687116015,4.119069511755357,-0.027783875120220403
1,bosque,3.411099161031227,4.115054704578946,-0.025781314535998856
1,bosque,3.387520026889715,4.101076940738606,-0.018824528510905658
1,bosque,3.3991900010662484,4.105343914912528,-0.02094570769941595
1,bosque,3.396070445175914,4.106243057080167,-0.021392966629251386
1,bosque,3.4036255864059917,4.111362087903739,-0.023941184587391806
1,bosque,3.3825317725494037,4.093599448642209,-0.015112670727615907
1,bosque,3.407149519940413,4.111426695040348,-0.0239733658579091
1,bosque,3.404358498326469,4.121428537085898,-0.02896145295617747
1,bosque,3.4076351186183578,4.125465609122441,-0.030978242016218127
1,bosque,3.4159870905008325,4.117231015509441,-0.026866602374084225
1,bosque,3.400192854583963,4.11670078017723,-0.026602130503715626
1,bosque,3.3999613704641742,4.112042220123793,-0.024279988603823854
1,bosque,3.3958926496541,4.106385814198703,-0.021463987097064097
1,bosque,3.4074969418688985,4.116502525001806,-0.026503253128124626
1,bosque,3.387310289991961,4.095507600863929,-0.01605924157185723
1,bosque,3.4227067062054886,4.129925457701552,-0.033208531941807395
1,bosque,3.409727199231633,4.1284498901552045,-0.032470360447030666
1,bosque,3.4127292368425706,4.134041230569995,-0.03526889386667609
1,bosque,3.412161197774195,4.1159353339751705,-0.026220399749698142
1,bosque,3.400886829350329,4.115821210615134,-0.02616349210319302
1,bosque,3.39917415729579,4.10901641254868,-0.0227731296287228
1,bosque,3.3969640219251893,4.105915837794742,-0.021230187098009612
1,bosque,3.4077692599607747,4.115722855397345,-0.026114448511331156
1,bosque,3.388876908980441,4.097103097315212,-0.01685105291432354
1,bosque,3.4306589966774883,4.139148190949673,-0.03782829886826966
1,bosque,3.4071135712827805,4.126161903166409,-0.031326287380191165
1,bosque,3.4246244924896834,4.146281985795211,-0.041408762239936836
1,bosque,3.4134362801545914,4.117345214418668,-0.026923567199122145
1,bosque,3.398070525279809,4.114242159452579,-0.025376259741724194
1,bosque,3.3992773143588377,4.110279467607439,-0.02340199901704887
1,bosque,3.396942502846085,4.1061753186774945,-0.021359268206422977
1,bosque,3.4076207149334796,4.115673624747438,-0.02608990070729944
1,bosque,3.388551046815462,4.096429881880854,-0.016516912637504655
1,bosque,3.394255241845618,4.1122959063436015,-0.024406375308930084
1,bosque,3.3922388445900937,4.104827218871307,-0.020688732683524114
1,bosque,3.400624887644294,4.111979027741017,-0.024248507314335033
1,bosque,3.3983619094467206,4.107190754222034,-0.021864484210074586
1,bosque,3.389482920341942,4.101263942515289,-0.018917443783379007
1,bosque,3.3920660803238225,4.102638001594358,-0.019600300247177627
1,bosque,3.3904066044190007,4.097147839984977,-0.016873262206208217
1,bosque,3.395287748155353,4.102118971908714,-0.01934233483659553
1,bosque,3.3808797399644326,4.094725790604278,-0.015671358165530558
1,bosque,3.4039193571725175,4.108174810416916,-0.02235420704033153
1,bosque,3.400114930278653,4.1158146091297505,-0.026160200318873672
1,bosque,3.3906976724179483,4.116942017121034,-0.02672245093986625
1,bosque,3.4033038269277007,4.112780139773469,-0.024647642488958343
