player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xA_partido,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Mateo Joseph,DT,mallorca,celta,1,67,0.0,0.0,0.2,0.0,2.0,1.0,6,83.3,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,10.0,32.0,12.0,0.0,0.0,1.0,0.0
Abdón Prats,DT,mallorca,celta,0,23,0.0,0.0,0.0,0.0,0.0,0.0,2,100.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,8.0,4.0,0.0,0.0,1.0,0.0
Sergi Darder,MC,mallorca,celta,1,90,0.0,0.0,0.0,0.1,0.0,0.0,44,81.8,0.0,0.0,0.0,0.0,0.0,7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,33.0,176.0,42.0,1.0,0.0,0.0,0.0
Takuma Asano,DT,mallorca,celta,1,67,0.0,0.0,0.0,0.0,1.0,0.0,17,70.6,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,14.0,96.0,56.0,2.0,1.0,3.0,25.0
Marc Domenech,DT,mallorca,celta,0,23,0.0,0.0,0.1,0.0,1.0,0.0,2,50.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,0.0,1.0,0.0,100.0
Pablo Torre,MC,mallorca,celta,1,81,0.0,0.0,0.0,0.0,0.0,1.0,37,73.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,152.0,94.0,2.0,0.0,0.0,0.0
Jan Salas,MC,mallorca,celta,0,9,0.0,0.0,0.0,0.0,0.0,0.0,7,71.4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,18.0,0.0,0.0,0.0,0.0
Omar Mascarell,MC,mallorca,celta,1,67,0.0,0.0,0.0,0.0,0.0,0.0,38,94.7,1.0,0.0,0.0,0.0,0.0,3,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,125.0,48.0,0.0,0.0,0.0,0.0
Dani Rodríguez,MC,mallorca,celta,0,23,0.0,0.0,0.0,0.0,0.0,0.0,10,80.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0,20.0,8.0,0.0,0.0,0.0,0.0
Antonio Sánchez,MC,mallorca,celta,1,45,0.0,0.0,0.0,0.0,0.0,0.0,20,90.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,51.0,19.0,0.0,0.0,1.0,0.0
Marash Kumbulla,DF,mallorca,celta,0,45,0.0,0.0,0.0,0.0,1.0,0.0,32,81.3,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,109.0,66.0,2.0,1.0,0.0,100.0
Johan Mojica,MC,mallorca,celta,1,90,0.0,0.0,0.0,0.2,1.0,0.0,54,68.5,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,37.0,178.0,82.0,3.0,0.0,0.0,0.0
