player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xA_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct
Ante Budimir,DT,osasuna,valencia,1,90,1.0,0.0,0.3,0.0,0.0,3.0,1.0,2.0,13,69.2,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,40.0,12.0,0.0,4.0,2.0,66.7
Aimar Oroz,MC,osasuna,valencia,1,77,0.0,0.0,0.2,0.0,0.2,3.0,3.0,0.0,49,87.8,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,36.0,208.0,124.0,5.0,1.0,2.0,33.3
Raúl,DT,osasuna,valencia,0,13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3,66.7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,6.0,79.0,58.0,2.0,0.0,0.0,0.0
Víctor Muñoz,MC,osasuna,valencia,1,61,0.0,0.0,0.1,0.0,0.0,2.0,2.0,0.0,19,68.4,0.0,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,19.0,145.0,119.0,3.0,0.0,0.0,0.0
Rubén García,MC,osasuna,valencia,0,29,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15,73.3,0.0,0.0,0.0,0.0,0.0,2,2.0,3.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0
Moi Gómez,MC,osasuna,valencia,1,83,0.0,0.0,0.1,0.0,0.0,1.0,0.0,1.0,81,90.1,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,248.0,84.0,0.0,0.0,0.0,0.0
Asier Osambela,MC,osasuna,valencia,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66.7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Torró,MC,osasuna,valencia,1,77,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40,57.5,1.0,0.0,0.0,0.0,0.0,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,16.0,47.0,20.0,0.0,5.0,0.0,100.0
Jorge Herrando,DF,osasuna,valencia,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,66.7,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0
Jon Moncayola,MC,osasuna,valencia,1,90,0.0,0.0,0.1,0.0,0.1,3.0,2.0,1.0,54,74.1,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,24.0,160.0,111.0,3.0,0.0,0.0,0.0
