feature,importance
minutes_pct_roll5,0.05813489
pf_ewma5,0.056245383
total_strength,0.048421923
opp_form_roll5,0.047981273
starter_pct_roll5,0.047873102
minutes_form_combo,0.04704232
minutes_pct_ewma5,0.046929266
psxg_roll5,0.04594951
pf_roll5,0.045749187
defensive_combo,0.044702567
odds_expected_goals_against,0.044233337
pass_comp_pct_roll5,0.043936443
save_advantage,0.043456964
availability_form,0.040895734
goles_contra_roll5,0.039448697
psxg_ewma5,0.037888627
is_home,0.03751114
momentum_factor,0.037476555
odds_market_confidence,0.03680628
score_roles_normalizado,0.03592269
ratio_roles_positivos,0.032856632
pass_comp_pct_ewma5,0.03042909
num_roles_criticos,0.029624656
num_roles_positivos,0.020483743
