feature,importance
pass_comp_pct_ewma5,0.06851127563413058
total_strength,0.06661074381218986
pf_ewma5,0.06601428775281111
psxg_ewma5,0.0653711223146488
availability_form,0.06520176068963471
pass_comp_pct_roll5,0.06158820099797215
weak_opponent,0.061522320793274514
defensive_combo,0.05797306788143498
save_advantage,0.052130812114865525
momentum_factor,0.05029195427159648
minutes_form_combo,0.04937880255882656
psxg_roll5,0.04733193463203194
score_roles_normalizado,0.04659548958532512
pf_roll5,0.041577932010342544
odds_expected_goals_against,0.03861487451348431
odds_market_confidence,0.035176243928743425
goles_contra_roll5,0.03177948458352874
num_roles_criticos,0.025908455132340448
minutes_pct_ewma5,0.02257031093529054
ratio_roles_positivos,0.019156144977351026
num_roles_positivos,0.010345032337706396
is_home,0.009818210115467702
minutes_pct_roll5,0.003769900829205011
starter_pct_roll5,0.0018648018620269456
cs_probability,0.0003671304110924241
expected_gk_core_points,0.00027315890528421377
cs_expected_points,0.00025654641939396814
