feature,importance
num_roles_criticos,0.3581088173054717
psxg_ewma5,0.1922645492248211
pass_comp_pct_ewma5,0.18866652137239123
is_home,0.10856819624003915
odds_market_confidence,0.09930456967474105
defensive_combo,0.029469673969005208
odds_expected_goals_against,0.023617672213530515
pass_comp_pct_roll5,0.0
starter_pct_roll5,0.0
minutes_pct_roll5,0.0
availability_form,0.0
psxg_roll5,0.0
save_advantage,0.0
pf_ewma5,0.0
minutes_form_combo,0.0
minutes_pct_ewma5,0.0
pf_roll5,0.0
total_strength,0.0
opp_form_roll5,0.0
goles_contra_roll5,0.0
momentum_factor,0.0
