feature,importance
num_roles_criticos,0.19671721130278483
psxg_ewma5,0.11014085448055881
defensive_combo,0.09466808888008893
pass_comp_pct_ewma5,0.0843302855776908
is_home,0.08010330499093997
pass_comp_pct_roll5,0.06796795784541527
psxg_roll5,0.06780069157010213
availability_form,0.054232318600940965
pf_ewma5,0.04085268315864641
starter_pct_roll5,0.03678692990336146
momentum_factor,0.03403341578036831
pf_roll5,0.032079875123576455
total_strength,0.02120933190144946
goles_contra_roll5,0.019862621514999217
minutes_form_combo,0.019649832833661625
minutes_pct_roll5,0.018733628180821266
minutes_pct_ewma5,0.008515548087101896
opp_form_roll5,0.006268797411352479
save_advantage,0.006046622856139564
