feature,spearman_abs,pvalue
defensive_actions_total,0.29372353108861976,4.1517508827860584e-145
clearances_per_90,0.21199562682438342,6.623979965831763e-75
fixture_difficulty_away,0.1544546239057227,3.4776893891025084e-40
fixture_difficulty_home,0.1544546239057227,3.4776893891025084e-40
def_actions_per_90,0.15391321918892462,6.510751760305879e-40
cs_activity_alignment,0.12945778087856874,1.2275087146338849e-28
pf_roll7,0.10514634359144097,2.1752293610341317e-19
minutes_pct_roll5,0.10231867653835532,1.9418065801568548e-18
pf_roll5,0.09630200199230449,1.6797011019976586e-16
minutes_pct_ewma5,0.0956883267504891,2.6076687863529076e-16
pf_ewma5,0.09510387126151247,3.954147891922904e-16
minutes_pct_ewma3,0.09368111865312101,1.0779444526485564e-15
starter_pct_roll5,0.09284071486956474,1.9356064704608215e-15
minutes_pct_roll3,0.09147410631488048,4.95886464678692e-15
is_home,0.08791758306829896,5.378344267055015e-14
aerial_won_ewma5,0.08468463517169222,4.332153635926713e-13
aerial_won_roll5,0.08302462717519551,1.2274523673596154e-12
pf_ewma3,0.07852978749977543,1.861230881661929e-11
starter_pct_ewma5,0.07758124728423173,3.241937834804326e-11
score_roles_normalizado,0.0763536743166924,6.583904649175071e-11
pf_roll3,0.07565927134036923,9.781854779046321e-11
clearances_roll7,0.07415196404702425,2.2824614268495414e-10
clearances_ewma5,0.07062391555997215,1.5550502050071534e-09
clearances_ewma3,0.06683750821528829,1.103154024390941e-08
def_actions_roll7,0.06300218079122398,7.224627611213282e-08
p_over25_ewma5,0.06165992104208448,1.3602728464138312e-07
consistency_5games,0.059657857121355407,3.4128622998837663e-07
pf_lag2,0.058806970874553686,5.001949963606668e-07
elite_despejes_interact,0.058089948882256805,6.875427967116215e-07
score_defensivo,0.05723149844569363,1.0014260938783344e-06
tiene_rol_defensivo_core,0.05569191137107878,1.940077834385693e-06
def_actions_ewma5,0.04774837270398054,4.5064088676303795e-05
num_roles_criticos,0.04656964144646381,6.919812224387335e-05
clearances_lag1,0.04594680522927049,8.645889657254496e-05
pf_lag1,0.04417007314206364,0.00016078270119502714
tackles_clearances_ratio_roll5,0.035508181278934285,0.0024196079508061997
tackles_per_90_ewma5,0.03384721644733922,0.0038371291883288116
tackles_per_90,0.03275107282206313,0.0051489326557708414
duels_roll5,0.029856248762466512,0.010766832303658108
defensive_context,0.029707987854925004,0.01116450091635836
duels_ewma5,0.02587085756466608,0.02713008242950214
opp_shots_ewma5,0.02431643079924267,0.037816671845829535
cs_probability,0.02431495528388228,0.037828312071500024
p_win_propio_ewma5,0.01897210496188072,0.10516993768314584
cs_rate_recent,0.01788640324357824,0.12662382976118342
def_actions_volatility,0.017450725343585258,0.1361353893990487
tackles_momentum,0.01662493446423417,0.15566496118809586
opp_shots_roll5,0.016538329779247574,0.15783043777067865
opp_form_roll5,0.01629504311762314,0.1640356501755071
tackles_lag1,0.014419778274873108,0.21815185385050226
opp_gc_roll5,0.013193649420636956,0.25985423749107256
usage_change_recent,0.0101450054916535,0.3862891760760593
opp_gc_ewma5,0.009214823208177092,0.43132460081908974
tackles_ewma3,0.0056128473571067415,0.6317115292112974
tackles_roll7,0.002749497778619467,0.8143663509865033
pf_volatility3,0.0016549687671847063,0.8876108036049615
elite_intercepciones_interact,0.0015917945560649687,0.8918740969635826
p_loss_propio_ewma5,0.0014141004392853786,0.9038821049787851
tackles_ewma5,0.0007592996842265906,0.948300383194359
