feature,importance
score_roles,0.056006116553626376
num_roles,0.04107393970057398
prog_dist_ewma5,0.040028578182076995
prog_dist_roll5,0.039872922792787764
pf_ewma5,0.0388678546320234
availability_form,0.03718637855947443
passes_ewma5,0.03409007810327887
prog_dribbles_ewma5,0.03133631448054591
pass_efficiency,0.030361720685433826
passes_roll5,0.030138894697146146
distance_per_dribble,0.0287748390642145
pf_roll5,0.028263601219158628
pass_comp_pct_roll5,0.028095871777580092
dribble_attempts_ewma5,0.027589897888681887
opp_gf_ewma5,0.027482722126429823
minutes_pct_ewma5,0.0271074176077269
opp_gc_ewma5,0.02683529821678901
opp_gc_roll5,0.02671884511009609
defensive_intensity,0.02621215143115339
pass_comp_pct_ewma5,0.026047267267718367
opp_gf_roll5,0.025643811397568318
succ_dribbles_ewma5,0.025570913824433102
minutes_pct_roll5,0.024688778153163473
tackles_ewma5,0.02452045620556105
starter_pct_ewma3,0.023012809126150165
tiene_rol_mediocampista_core,0.022677004070829
odds_prob_win,0.0216574760494886
offensive_action,0.02144176767257021
prog_dribbles_roll5,0.01903500919461969
dribble_success_rate,0.01832715009998447
odds_market_confidence,0.0170809292873512
tackles_roll5,0.016161125183181514
dribble_attempts_roll5,0.01589991776753552
es_mediocampista_elite,0.01474187023708889
succ_dribbles_roll5,0.013899220117797172
is_home,0.012690143940273615
tiene_rol_destacado,0.012001944237194492
num_roles_criticos,0.011144302864938877
starter_pct_roll3,0.004415227333756557
odds_is_favored,0.003299433139997677
