Model,MAE,RMSE,Spearman
Ridge,2.6471121949859526,3.421640570754786,0.2527581366836989
ElasticNet,2.648358991906879,3.4233944720537566,0.2517205559984389
RF,2.6591718484861335,3.431658490438713,0.24680269254414994
XGB,2.7383322334800906,3.527221403422376,0.19344969945488522
