feature,spearman,p_value,abs_spearman
prog_dist_ewma5,0.19731603738106385,1.0649282321095844e-71,0.19731603738106385
prog_dist_roll5,0.19379687240669208,3.50107649831635e-69,0.19379687240669208
availability_form,0.18746588366380462,8.914596518746646e-65,0.18746588366380462
pf_ewma5,0.18715223266320793,1.4598884383165995e-64,0.18715223266320793
passes_ewma5,0.18514235972666732,3.3725641275634564e-63,0.18514235972666732
passes_roll5,0.18311300054222188,7.743450903742384e-62,0.18311300054222188
pf_roll5,0.17788467572387565,2.098882854994496e-58,0.17788467572387565
pass_efficiency,0.17712391361673557,6.49758112129939e-58,0.17712391361673557
tiene_rol_mediocampista_core,0.17464640090778977,2.48647133625876e-56,0.17464640090778977
es_mediocampista_elite,0.17248866978427307,5.687946794814531e-55,0.17248866978427307
minutes_pct_ewma5,0.1522446482745439,4.4435043429999884e-43,0.1522446482745439
minutes_pct_roll5,0.14804193282587275,8.38347178765523e-41,0.14804193282587275
prog_dribbles_ewma5,0.13398798969637227,1.1397260277783731e-33,0.13398798969637227
prog_dribbles_roll5,0.13000012429131114,8.87577310860248e-32,0.13000012429131114
offensive_action,0.12009029402922632,2.4912370293820236e-27,0.12009029402922632
num_roles_criticos,0.11614372864004843,1.170548035708385e-25,0.11614372864004843
starter_pct_ewma3,0.11179726568757473,6.990791460241433e-24,0.11179726568757473
starter_pct_roll3,0.11008341352462325,3.35833254145071e-23,0.11008341352462325
succ_dribbles_ewma5,0.1090265931760211,8.732618922757439e-23,0.1090265931760211
succ_dribbles_roll5,0.10372982946845083,9.135278884911698e-21,0.10372982946845083
dribble_attempts_ewma5,0.0918680981731102,1.3163124709317948e-16,0.0918680981731102
pass_comp_pct_roll5,0.08860552409772632,1.497690454449491e-15,0.08860552409772632
pass_comp_pct_ewma5,0.08770378583692523,2.888390147195585e-15,0.08770378583692523
dribble_attempts_roll5,0.08713193066852745,4.365682670194277e-15,0.08713193066852745
distance_per_dribble,0.08155125204633923,2.1387466842472518e-13,0.08155125204633923
is_home,0.07908907566558193,1.0989085661252123e-12,0.07908907566558193
tackles_ewma5,0.07807615339991744,2.124218697154838e-12,0.07807615339991744
dribble_success_rate,0.0747231726712206,1.7743939202012754e-11,0.0747231726712206
tackles_roll5,0.06606299684705715,2.8083133180405503e-09,0.06606299684705715
opp_gc_ewma5,-0.042174664446323444,0.00014992574389412303,0.042174664446323444
opp_gc_roll5,-0.0399750096432497,0.0003265199900879468,0.0399750096432497
opp_gf_ewma5,-0.036122708264887705,0.001167182136879579,0.036122708264887705
opp_gf_roll5,-0.03430292402286321,0.0020484517621690034,0.03430292402286321
defensive_intensity,-0.034168689296400885,0.00213311568804913,0.034168689296400885
odds_prob_win,-0.009795823363570997,0.37874995758852426,0.009795823363570997
opp_form_ewma5,0.006549226793545296,0.5562156965222707,0.006549226793545296
odds_is_favored,-0.005300288588225735,0.6338974511595021,0.005300288588225735
odds_prob_loss,0.004737560153578117,0.6703375704675509,0.004737560153578117
odds_expected_goals_against,0.003746911996529339,0.7363647905243604,0.003746911996529339
odds_market_confidence,-0.003274563203031441,0.7685829267678836,0.003274563203031441
opp_form_roll5,0.0028380963497828377,0.7987145939392826,0.0028380963497828377
pass_productivity,0.00044984190222264396,0.9677586903358202,0.00044984190222264396
