player,posicion,Equipo_propio,Equipo_rival,Titular,Min_partido,Gol_partido,Asist_partido,xG_partido,xAG,Tiros,TiroFallado_partido,TiroPuerta_partido,Pases_Totales,Pases_Completados_Pct,Amarillas,Rojas,Goles_en_contra,Porcentaje_paradas,PSxG,puntosFantasy,Entradas,Duelos,DuelosGanados,DuelosPerdidos,Bloqueos,BloqueoTiros,BloqueoPase,Despejes,Regates,RegatesCompletados,RegatesFallidos,Conducciones,DistanciaConduccion,MetrosAvanzadosConduccion,ConduccionesProgresivas,DuelosAereosGanados,DuelosAereosPerdidos,DuelosAereosGanadosPct,temporada,jornada,fecha_partido,local,roles,rank_porterias_cero,rank_save_pct,score_porterias_cero,score_save_pct,posicion_equipo,pj,pg,pe,pp,gf,gc,dg,pts,racha5partidos,posicion_rival,pj_rival,pg_rival,pe_rival,pp_rival,gf_rival,gc_rival,dg_rival,pts_rival,racha5partidos_rival,Date,home,away,p_home,p_draw,p_away,p_over25,ah_line,HS,AS,HST,AST,p_win_propio,p_loss_propio,p_draw_match,p_over25_match,ah_line_match,shots_propio,shots_rival,shots_on_target_propio,shots_on_target_rival,target_pf_next,pf_last3_mean,min_last3_mean,goles_last3_sum,xg_team,xg_rival,gf_last5_mean_team,gc_last5_mean_team,goal_diff_last5_team,xg_last5_mean_team,xg_contra_last5_mean_team,gf_last5_mean_rival,gc_last5_mean_rival,goal_diff_last5_rival,xg_last5_mean_rival,xg_contra_last5_mean_rival,pts_diff,gf_diff,gc_diff,is_top4_propio,is_top4_rival,is_bottom3_propio,is_bottom3_rival,pf_last5_std,gc_last5_std,psxg_last5_std,min_last5_sum,psxg_last5_sum,gc_last5_sum,psxg_per90_last5,gc_per90_last5,ataque_top_rival,defensa_floja_propia,ataque_top_y_defensa_floja
Aarón Escandell,PT,oviedo,levante,1,90,0,0,0.0,0.0,0,0,0,30,93.3,0,0,2.0,60.0,2.0,2,0,0,0,0,0,0,0,1,0,0,0,23,94.0,54.0,0,0,0,0.0,25_26,8,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,17,8,2,0,6,4,14,-10,6,LLLWL,13,8,2,2,4,13,14,-1,8,DWLDW,2025-10-04,oviedo,levante,0.38053646352015413,0.2894878618190129,0.329975674660833,0.4281984334203655,0.0,13.0,14.0,2.0,5.0,0.38053646352015413,0.329975674660833,0.2894878618190129,0.4281984334203655,0.0,13.0,14.0,2.0,5.0,9.0,8.333333333333334,90.0,0.0,0.0,0.0,1.8,8.6,-6.8,0.0,0.0,7.6,10.4,-2.8000000000000007,0.0,0.0,-2,-9,0,0,0,0,0,4.898979485566356,1.1401754250991378,0.35637059362410906,450.0,8.6,7.0,1.72,1.4,1,0,0
Aarón Escandell,PT,oviedo,espanyol,1,90,0,0,0.0,0.0,0,0,0,49,83.7,0,0,2.0,80.0,4.4,9,0,0,0,0,0,0,0,0,0,0,0,34,169.0,128.0,0,0,0,0.0,25_26,9,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,9,2,0,7,4,16,-12,6,LLWLL,6,9,4,3,2,13,11,2,15,LDDLW,2025-10-17,oviedo,espanyol,0.3159936475375937,0.31180830121259245,0.3721980512498139,0.374064837905237,0.0,13.0,19.0,4.0,10.0,0.3159936475375937,0.3721980512498139,0.31180830121259245,0.374064837905237,0.0,13.0,19.0,4.0,10.0,3.0,6.666666666666667,90.0,0.0,0.0,0.0,2.4,10.4,-8.0,0.0,0.0,9.4,8.2,1.200000000000001,0.0,0.0,-9,-9,5,0,0,1,0,4.54972526643093,0.8366600265340755,0.3781534080237806,450.0,8.799999999999999,9.0,1.7599999999999998,1.8,1,0,0
Aarón Escandell,PT,oviedo,girona,1,90,0,0,0.0,0.0,0,0,0,26,65.4,0,0,3.0,83.3,2.4,3,0,0,0,0,0,0,0,2,0,0,0,16,58.0,14.0,0,1,0,100.0,25_26,10,,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,10,2,1,7,7,19,-12,7,LWLLD,20,10,1,4,5,9,22,-13,7,DDWLD,2025-10-25,girona,oviedo,0.5255777720072707,0.2687613606855362,0.20566086730719293,0.47074468085106375,-0.75,8.0,10.0,6.0,5.0,0.20566086730719293,0.5255777720072707,0.2687613606855362,0.47074468085106375,-0.75,10.0,8.0,5.0,6.0,12.0,8.0,90.0,0.0,0.0,0.0,3.0,12.2,-9.2,0.0,0.0,3.8,16.6,-12.8,0.0,0.0,0,-2,-3,0,0,1,1,4.147288270665544,0.8366600265340755,1.203328716519306,450.0,11.7,9.0,2.34,1.8,1,0,0
Aarón Escandell,PT,oviedo,osasuna,1,90,0,0,0.0,0.0,0,0,0,33,75.8,0,0,0.0,100.0,1.2,12,0,0,0,0,0,0,0,0,0,0,0,24,99.0,68.0,0,0,0,0.0,25_26,11,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,11,2,2,7,7,19,-12,8,WLLDD,15,11,3,2,6,9,12,-3,11,LWLLD,2025-11-03,oviedo,osasuna,0.3173896488093495,0.3110629448463724,0.3715474063442782,0.3893129770992367,0.0,8.0,11.0,2.0,5.0,0.3173896488093495,0.3715474063442782,0.3110629448463724,0.3893129770992367,0.0,8.0,11.0,2.0,5.0,8.0,4.666666666666667,90.0,0.0,0.0,0.0,4.2,14.4,-10.2,0.0,0.0,6.6,8.2,-1.5999999999999996,0.0,0.0,-3,-2,7,0,0,1,0,4.560701700396552,0.8366600265340753,1.085357084097211,450.0,12.7,11.0,2.54,2.2,1,0,0
Aarón Escandell,PT,oviedo,athletic,1,90,0,0,0.0,0.0,0,0,0,57,77.2,1,0,1.0,85.7,1.2,8,0,0,0,0,0,0,0,1,0,0,0,30,176.0,97.0,0,0,0,0.0,25_26,12,,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,20,12,2,2,8,7,20,-13,8,LLDDL,7,12,5,2,5,12,13,-1,17,WDLLW,2025-11-09,athletic,oviedo,0.6345039474195932,0.24078611337974307,0.12470993920066373,0.43307086614173224,-1.0,21.0,5.0,7.0,2.0,0.12470993920066373,0.6345039474195932,0.24078611337974307,0.43307086614173224,-1.0,5.0,21.0,2.0,7.0,17.0,8.0,90.0,0.0,0.0,0.0,5.2,16.0,-10.8,0.0,0.0,9.0,9.8,-0.8000000000000007,0.0,0.0,-9,-5,7,0,0,1,0,5.06951674225463,1.1401754250991378,1.245792920191795,450.0,11.6,8.0,2.32,1.6,1,0,0
Aarón Escandell,PT,oviedo,rayo vallecano,1,90,0,0,0.0,0.0,0,0,0,38,57.9,0,0,0.0,100.0,1.1,17,0,0,0,0,0,0,0,0,1,1,0,28,136.0,68.0,0,0,0,0.0,25_26,13,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,20,13,2,3,8,7,20,-13,9,LDDLD,13,13,4,4,5,12,14,-2,16,WWLDD,2025-11-23,oviedo,rayo vallecano,0.2803608302583757,0.290776712497077,0.42886245724454736,0.42558746736292424,0.25,8.0,11.0,3.0,3.0,0.2803608302583757,0.42886245724454736,0.290776712497077,0.42558746736292424,0.25,8.0,11.0,3.0,3.0,8.0,7.666666666666667,90.0,0.0,0.0,0.0,5.8,17.6,-11.8,0.0,0.0,11.0,11.6,-0.5999999999999996,0.0,0.0,-7,-5,6,0,0,1,0,4.207136793592526,1.1401754250991378,1.314534138012399,450.0,11.2,8.0,2.2399999999999998,1.6,1,0,0
Aarón Escandell,PT,oviedo,atletico madrid,1,90,0,0,0.0,0.0,0,0,0,43,86.0,0,0,2.0,75.0,2.9,8,0,0,0,0,0,0,0,0,0,0,0,30,165.0,125.0,0,0,0,0.0,25_26,14,,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,20,14,2,3,9,7,22,-15,9,DDLDL,4,14,9,4,1,27,11,16,31,WWWWW,2025-11-29,atletico madrid,oviedo,0.7822914500671064,0.1536643919774673,0.06404415795542616,0.5654450261780105,-1.75,14.0,12.0,8.0,1.0,0.06404415795542616,0.7822914500671064,0.1536643919774673,0.5654450261780105,-1.75,12.0,14.0,1.0,8.0,14.0,12.333333333333334,90.0,0.0,0.0,0.0,6.4,18.8,-12.4,0.0,0.0,20.8,10.4,10.4,0.0,0.0,-22,-20,11,0,1,1,0,5.167204273105526,1.3038404810405297,1.4135062787267698,450.0,10.3,6.0,2.06,1.2,1,0,0
Aarón Escandell,PT,oviedo,mallorca,1,90,0,0,0.0,0.0,0,0,0,37,86.5,0,0,0.0,100.0,0.8,14,0,0,0,0,0,0,0,1,0,0,0,29,216.0,164.0,0,0,0,0.0,25_26,15,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,15,2,4,9,7,22,-15,10,DLDLD,17,15,3,5,7,15,22,-7,14,LWLDD,2025-12-05,oviedo,mallorca,0.3601847674471546,0.31773875108132826,0.3220764814715171,0.38190954773869346,0.0,15.0,13.0,3.0,6.0,0.3601847674471546,0.3220764814715171,0.31773875108132826,0.38190954773869346,0.0,15.0,13.0,3.0,6.0,1.0,11.0,90.0,0.0,0.0,0.0,7.0,20.0,-13.0,0.0,0.0,12.4,18.6,-6.200000000000001,0.0,0.0,-4,-8,0,0,0,1,0,5.224940191045253,1.3038404810405297,0.8324662155306963,450.0,8.8,6.0,1.7600000000000002,1.2,1,0,0
Aarón Escandell,PT,oviedo,sevilla,1,90,0,0,0.0,0.0,0,0,0,31,80.6,0,0,4.0,42.9,2.6,1,0,0,0,0,0,0,0,1,0,0,0,21,92.0,66.0,0,0,0,0.0,25_26,16,,0,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,16,2,4,10,7,26,-19,10,LDLDL,9,16,6,2,8,24,24,0,20,WLLDW,2025-12-14,sevilla,oviedo,0.49913291564108303,0.28264153054374586,0.2182255538151712,0.42931937172774864,-0.5,13.0,5.0,7.0,1.0,0.2182255538151712,0.49913291564108303,0.28264153054374586,0.42931937172774864,-0.5,5.0,13.0,1.0,7.0,9.0,13.0,90.0,0.0,0.0,0.0,7.0,20.6,-13.600000000000001,0.0,0.0,18.6,21.2,-2.599999999999998,0.0,0.0,-10,-17,2,0,0,1,0,3.898717737923586,0.8944271909999157,0.8324662155306964,450.0,7.199999999999999,3.0,1.4399999999999997,0.6,1,0,0
Aarón Escandell,PT,oviedo,celta,1,90,0,0,0.0,0.0,0,0,0,38,55.3,0,0,0.0,100.0,0.3,9,0,0,0,0,0,0,0,0,0,0,0,26,138.0,61.0,0,0,0,0.0,25_26,17,,1,"[{'minutos': [5, 1530.0]}, {'porterias_cero': [7, 5.0]}, {'paradas': [1, 80.0]}, {'save_pct': [4, 77.8]}]",7.0,4.0,0.3333333333333333,0.6666666666666667,19,17,2,5,10,7,26,-19,11,DLDLD,7,17,5,8,4,20,19,1,23,WLWWD,2025-12-20,oviedo,celta,0.25517116587313254,0.2887257840154711,0.4561030501113964,0.42297650130548303,0.5,10.0,6.0,3.0,2.0,0.25517116587313254,0.4561030501113964,0.2887257840154711,0.42297650130548303,0.5,10.0,6.0,3.0,2.0,,7.666666666666667,90.0,0.0,0.0,0.0,7.0,22.0,-15.0,0.0,0.0,17.0,18.6,-1.6000000000000014,0.0,0.0,-12,-13,7,0,0,1,0,6.188699378706321,1.6733200530681511,0.9576011695899289,450.0,8.600000000000001,7.0,1.7200000000000002,1.4,1,0,0
