jornada,home,away,p_home,p_draw,p_away,temporada
1,getafe,real sociedad,0.2845634509292367,0.341878350939719,0.3735581981310443,23_24
1,oviedo,betis,0.2202768796602978,0.2786788189362269,0.5010443014034753,23_24
1,villarreal,alaves,0.6268271292145781,0.2235431689729097,0.1496297018125121,23_24
1,girona,ca osasuna,0.4043919618810855,0.2906567226020302,0.3049513155168842,23_24
1,valencia,elche,0.429546674848508,0.2979980056761525,0.2724553194753394,23_24
1,rayo,mallorca,0.5072046109510087,0.2853025936599423,0.2074927953890489,23_24
1,levante,espanyol,0.3043478260869565,0.2898550724637681,0.4057971014492754,23_24
1,sevilla,celta,0.3677525579207338,0.2991885216982241,0.3330589203810419,23_24
1,espanyol,girona,0.4895908583437315,0.2704406646089183,0.2399684770473501,23_24
1,real madrid,levante,0.84034303739239,0.1021061970164946,0.0575507655911151,23_24
1,mallorca,athletic bilbao,0.2582256488218047,0.3071994787707677,0.4345748724074276,23_24
1,ca osasuna,oviedo,0.5491450244278735,0.2721136538956029,0.1787413216765235,23_24
1,betis,villarreal,0.4207221350078493,0.2637362637362637,0.315541601255887,23_24
1,getafe,valencia,0.37513397642015,0.330117899249732,0.2947481243301179,23_24
1,atletico madrid,alaves,0.6820499060906896,0.2079420445398444,0.110008049369466,23_24
1,celta,rayo,0.4411764705882353,0.2941176470588235,0.2647058823529412,23_24
1,real sociedad,barcelona,0.1826086956521739,0.208695652173913,0.6086956521739131,23_24
1,elche,sevilla,0.4174517982673629,0.2830994953767173,0.2994487063559198,23_24
2,getafe,real sociedad,0.2845634509292367,0.341878350939719,0.3735581981310443,23_24
2,oviedo,betis,0.2202768796602978,0.2786788189362269,0.5010443014034753,23_24
2,villarreal,alaves,0.6268271292145781,0.2235431689729097,0.1496297018125121,23_24
2,girona,ca osasuna,0.4043919618810855,0.2906567226020302,0.3049513155168842,23_24
2,valencia,elche,0.429546674848508,0.2979980056761525,0.2724553194753394,23_24
2,rayo,mallorca,0.5072046109510087,0.2853025936599423,0.2074927953890489,23_24
