feature,spearman,p_value,abs_spearman
pf_roll5,0.28316063043148204,2.6240658023172424e-95,0.28316063043148204
pf_ewma5,0.2783173849711085,5.2177978210311656e-92,0.2783173849711085
score_roles,0.26810148001509226,2.8775935600811115e-85,0.26810148001509226
offensive_threat,0.2639053830624899,1.3933601647350843e-82,0.2639053830624899
num_roles,0.26246454059191476,1.1346453669555254e-81,0.26246454059191476
availability_threat,0.25662507383572836,4.87514384707043e-78,0.25662507383572836
shots_roll5,0.2366854509956691,2.515316150941154e-66,0.2366854509956691
minutes_pct_ewma5,0.23590263262639652,6.899936012221673e-66,0.23590263262639652
shots_ewma5,0.23545245546835786,1.2306694654687728e-65,0.23545245546835786
minutes_pct_roll5,0.2330881022678336,2.518954238971225e-64,0.2330881022678336
prog_dist_ewma5,0.23072666615450418,4.966581594971393e-63,0.23072666615450418
prog_dist_roll5,0.23037635811619275,7.707239751431469e-63,0.23037635811619275
prog_dribbles_roll5,0.2220134250858163,2.2290349614225378e-58,0.2220134250858163
progressive_pressure,0.2220134250858163,2.2290349614225378e-58,0.2220134250858163
prog_dribbles_ewma5,0.22149816459016014,4.1405755884197405e-58,0.22149816459016014
dribbles_roll5,0.20835438686583774,1.7679092537438214e-51,0.20835438686583774
dribbles_ewma5,0.20609051217771443,2.213553082350661e-50,0.20609051217771443
succ_dribbles_roll5,0.20481090815459638,9.115344833006164e-50,0.20481090815459638
tiene_rol_destacado,0.20206626591348564,1.837818860840393e-48,0.20206626591348564
succ_dribbles_ewma5,0.19965402453977232,2.4843606349215503e-47,0.19965402453977232
shots_on_target_ewma5,0.19964821105877645,2.4998992500566483e-47,0.19964821105877645
shots_on_target_roll5,0.19869406167024742,6.937614786665841e-47,0.19869406167024742
offensive_form,0.1962100184117438,9.651508018039181e-46,0.1962100184117438
starter_pct_ewma3,0.19289100908447945,3.078234754470441e-44,0.19289100908447945
xg_ewma5,0.18972486487824905,7.893195638663518e-43,0.18972486487824905
starter_pct_roll3,0.1896918941099539,8.161958781229619e-43,0.1896918941099539
goals_ewma5,0.18755289362734323,7.070401411308303e-42,0.18755289362734323
xg_roll5,0.18701243926048977,1.2149802622060348e-41,0.18701243926048977
goals_roll5,0.17476966238715974,1.6547075624113803e-36,0.17476966238715974
shot_efficiency,0.1444395112159476,2.3908356626971667e-25,0.1444395112159476
goal_productivity,0.1288351104629913,1.870397856880819e-20,0.1288351104629913
shot_accuracy,0.09509465672271064,8.558964722080224e-12,0.09509465672271064
is_home,0.08081173488120505,6.650417738035471e-09,0.08081173488120505
odds_market_confidence,0.059545475073306854,1.953591185984941e-05,0.059545475073306854
odds_prob_win,0.05076572935915287,0.00027302744817947407,0.05076572935915287
odds_prob_loss,-0.04844279005520026,0.000514887125907484,0.04844279005520026
odds_expected_goals_against,-0.04771974860492616,0.000623925302009709,0.04771974860492616
odds_is_favored,0.045127992375044945,0.0012164330819933046,0.045127992375044945
opp_gf_ewma5,-0.02773991237432041,0.04682228937404065,0.02773991237432041
opp_gf_roll5,-0.02650677635541725,0.05749835953515751,0.02650677635541725
opp_gc_ewma5,-0.025593168693445193,0.06665233327148949,0.025593168693445193
opp_gc_roll5,-0.024941984108719457,0.0738837691771897,0.024941984108719457
opp_form_ewma5,-0.0018723221478612385,0.8932846801438177,0.0018723221478612385
opp_form_roll5,0.00027638459380007797,0.9842009016840422,0.00027638459380007797
