Model,MAE,RMSE,Spearman,Best_Params
ElasticNet,2.792840436461826,3.6877956879787392,0.28934212135109527,"{'regresor__alpha': 0.01, 'regresor__l1_ratio': 1.0, 'regresor__max_iter': 5000, 'regresor__tol': 0.001}"
Ridge,2.7980944172992173,3.691395253200723,0.2858566583136796,{'regresor__alpha': 100.0}
RF,2.851425613627214,3.705489831037582,0.2662126865676547,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 4, 'min_samples_split': 7, 'n_estimators': 300}"
XGB,2.9386976412802097,3.846279416431358,0.22792088806422398,"{'colsample_bytree': 0.9, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 5, 'min_child_weight': 3, 'n_estimators': 300, 'reg_alpha': 0.1, 'reg_lambda': 2.0, 'subsample': 0.9}"
