feature,importance
pf_roll5,0.05398390499099238
pf_ewma5,0.05130032607739477
availability_threat,0.046439021195817685
tiene_rol_delantero_core,0.03772780593134196
shots_ewma5,0.03758992019775852
offensive_threat,0.03650412029589607
prog_dist_roll5,0.03238055996848483
minutes_pct_roll5,0.03215517825352568
prog_dribbles_ewma5,0.031985688898268125
minutes_pct_ewma5,0.03134631767740286
dribbles_ewma5,0.031145142843585986
succ_dribbles_ewma5,0.03036012037657103
opp_gc_ewma5,0.03019858099408417
prog_dist_ewma5,0.029789648851279348
opp_gf_ewma5,0.02894222995446621
shots_on_target_ewma5,0.02837980314688169
xg_ewma5,0.027574113807933055
opp_gc_roll5,0.026976602351427886
offensive_form,0.026211633322686147
opp_gf_roll5,0.02616541753104855
goals_ewma5,0.026153497896252403
shots_roll5,0.026043187006519378
xg_roll5,0.02243501946968866
dribbles_roll5,0.021869266552001707
starter_pct_ewma3,0.021040695859596777
odds_prob_loss,0.01981193227047284
odds_prob_win,0.019595457142281093
prog_dribbles_roll5,0.01824512377130518
succ_dribbles_roll5,0.018001782858853867
progressive_pressure,0.017811142999170495
shot_accuracy,0.01777006050254151
odds_expected_goals_against,0.016600797536688364
shot_efficiency,0.015676446678298647
odds_market_confidence,0.014771720628651668
goal_productivity,0.014189258516889429
shots_on_target_roll5,0.013320767126809636
goals_roll5,0.006530460665835253
is_home,0.006363332106990857
starter_pct_roll3,0.004328989421178607
odds_is_favored,0.002284924323126664
